vuelo_id,fecha,airline_iata,airline_name,origen_iata,destino_iata,flight_status,retraso_salida_min,retraso_llegada_min,tiene_retraso,severidad_retraso,condicion_clima,grupo_clima,impacto_clima,condiciones_adversas,dia_semana,mes,anio
VL1023,2026-04-01,CM,Copa Airlines,BOG,LIM,completado,29,23,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1024,2026-04-01,IB,Iberia,CTG,BOG,cancelado,0,0,False,sin_retraso,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1025,2026-04-01,UA,United Airlines,EZE,BOG,demorado,70,49,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1026,2026-04-01,AC,Air Canada,BAQ,BOG,demorado,47,44,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1027,2026-04-01,B6,JetBlue Airways,BAQ,BOG,completado,8,6,False,menor,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1028,2026-04-01,AV,Avianca,MDE,MIA,demorado,57,64,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1029,2026-04-01,B6,JetBlue Airways,SCL,BOG,demorado,78,87,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1030,2026-04-01,CM,Copa Airlines,CLO,BOG,completado,33,36,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1031,2026-04-01,DL,Delta Air Lines,BOG,CTG,demorado,78,88,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1032,2026-04-01,AA,American Airlines,BOG,BAQ,cancelado,0,0,False,sin_retraso,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1033,2026-04-01,AA,American Airlines,MDE,PTY,demorado,90,106,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1034,2026-04-01,IB,Iberia,MDE,PTY,demorado,72,81,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1035,2026-04-01,B6,JetBlue Airways,BOG,LIM,demorado,48,39,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1036,2026-04-01,AC,Air Canada,PTY,BOG,demorado,62,39,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1037,2026-04-01,IB,Iberia,CUN,BOG,demorado,59,62,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1038,2026-04-01,UA,United Airlines,CLO,BOG,completado,42,47,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1039,2026-04-01,DL,Delta Air Lines,JFK,BOG,demorado,60,47,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1040,2026-04-01,AC,Air Canada,JFK,BOG,demorado,92,72,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1041,2026-04-01,AV,Avianca,BOG,MEX,completado,34,32,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1042,2026-04-01,TK,Turkish Airlines,JFK,BOG,cancelado,0,0,False,sin_retraso,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1043,2026-04-01,IB,Iberia,JFK,BOG,completado,37,40,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1044,2026-04-01,AA,American Airlines,CUN,BOG,cancelado,0,0,False,sin_retraso,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1045,2026-04-01,AC,Air Canada,MIA,BOG,demorado,83,69,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1046,2026-04-01,CM,Copa Airlines,MIA,BOG,demorado,96,102,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1047,2026-04-01,IB,Iberia,CLO,MIA,completado,7,8,False,menor,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1048,2026-04-01,IB,Iberia,BAQ,BOG,demorado,92,95,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1049,2026-04-01,IB,Iberia,CLO,MIA,demorado,64,57,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1050,2026-04-01,AA,American Airlines,MEX,BOG,cancelado,0,0,False,sin_retraso,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1051,2026-04-01,DL,Delta Air Lines,BOG,GRU,completado,38,35,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1052,2026-04-01,CM,Copa Airlines,MAD,BOG,completado,35,22,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1053,2026-04-01,B6,JetBlue Airways,MAD,BOG,demorado,70,66,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1054,2026-04-01,UA,United Airlines,BOG,MEX,demorado,92,96,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1055,2026-04-01,B6,JetBlue Airways,BOG,GRU,completado,41,37,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1056,2026-04-01,AC,Air Canada,SCL,BOG,demorado,58,36,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1057,2026-04-01,B6,JetBlue Airways,JFK,BOG,demorado,62,42,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1058,2026-04-01,AV,Avianca,BOG,LIM,completado,28,23,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1059,2026-04-01,DL,Delta Air Lines,MEX,BOG,demorado,46,42,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1060,2026-04-01,UA,United Airlines,BOG,GRU,demorado,56,66,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1061,2026-04-01,AV,Avianca,PTY,BOG,completado,9,9,False,menor,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1062,2026-04-01,DL,Delta Air Lines,EZE,BOG,demorado,79,84,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1063,2026-04-01,DL,Delta Air Lines,BOG,MDE,demorado,69,65,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1064,2026-04-01,AC,Air Canada,MDE,PTY,completado,33,25,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1065,2026-04-01,B6,JetBlue Airways,CUN,BOG,demorado,48,51,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1066,2026-04-01,AC,Air Canada,JFK,BOG,cancelado,0,0,False,sin_retraso,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1067,2026-04-01,UA,United Airlines,MIA,BOG,demorado,90,62,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1068,2026-04-01,IB,Iberia,MIA,BOG,completado,44,38,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1069,2026-04-01,AA,American Airlines,MEX,BOG,demorado,55,48,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1070,2026-04-01,B6,JetBlue Airways,PTY,BOG,completado,40,36,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1071,2026-04-01,DL,Delta Air Lines,PTY,BOG,demorado,53,32,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1072,2026-04-01,LA,Latam Airlines,BOG,GRU,demorado,62,61,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1073,2026-04-01,AV,Avianca,BOG,MAD,completado,22,16,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1074,2026-04-01,IB,Iberia,CTG,MDE,demorado,57,50,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1075,2026-04-01,AA,American Airlines,BOG,MDE,demorado,50,52,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1076,2026-04-01,CM,Copa Airlines,BOG,BAQ,en_vuelo,39,36,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1077,2026-04-01,AA,American Airlines,BOG,MEX,completado,0,0,False,sin_retraso,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1078,2026-04-01,AV,Avianca,BAQ,BOG,cancelado,0,0,False,sin_retraso,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1079,2026-04-01,DL,Delta Air Lines,CTG,BOG,completado,29,34,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1080,2026-04-01,LA,Latam Airlines,MEX,BOG,completado,21,15,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1081,2026-04-01,LA,Latam Airlines,BOG,GRU,completado,44,42,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1082,2026-04-01,IB,Iberia,MDE,PTY,demorado,80,63,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1083,2026-04-01,B6,JetBlue Airways,SCL,BOG,en_vuelo,18,18,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1084,2026-04-01,AA,American Airlines,BOG,CTG,cancelado,0,0,False,sin_retraso,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1085,2026-04-01,DL,Delta Air Lines,MAD,BOG,demorado,75,48,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1086,2026-04-01,DL,Delta Air Lines,CUN,BOG,demorado,71,47,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1087,2026-04-01,CM,Copa Airlines,BOG,LIM,completado,38,27,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1088,2026-04-01,B6,JetBlue Airways,BOG,MEX,demorado,47,36,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1089,2026-04-01,TK,Turkish Airlines,BOG,MAD,demorado,88,92,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1090,2026-04-01,AV,Avianca,BOG,MAD,demorado,67,41,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1091,2026-04-01,DL,Delta Air Lines,LIM,BOG,completado,36,32,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1092,2026-04-01,CM,Copa Airlines,LIM,BOG,demorado,82,69,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1093,2026-04-01,LA,Latam Airlines,GRU,BOG,completado,38,34,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1094,2026-04-01,IB,Iberia,BOG,JFK,completado,29,24,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1095,2026-04-01,IB,Iberia,CLO,MIA,demorado,76,62,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1096,2026-04-01,TK,Turkish Airlines,EZE,BOG,en_vuelo,41,46,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1097,2026-04-01,B6,JetBlue Airways,CUN,BOG,en_vuelo,43,40,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1098,2026-04-01,LA,Latam Airlines,CLO,MIA,demorado,94,73,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1099,2026-04-01,AC,Air Canada,MEX,BOG,demorado,82,72,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1100,2026-04-01,AA,American Airlines,PTY,BOG,demorado,78,84,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1101,2026-04-01,IB,Iberia,BOG,LIM,demorado,47,37,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1102,2026-04-01,TK,Turkish Airlines,GRU,BOG,completado,35,32,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1103,2026-04-01,AA,American Airlines,MAD,BOG,demorado,58,65,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1104,2026-04-01,UA,United Airlines,SCL,BOG,completado,38,41,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1105,2026-04-01,AV,Avianca,BOG,CLO,demorado,89,100,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1106,2026-04-01,TK,Turkish Airlines,BOG,MDE,demorado,51,51,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1107,2026-04-01,TK,Turkish Airlines,CUN,BOG,demorado,47,48,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1108,2026-04-01,UA,United Airlines,GRU,BOG,demorado,82,93,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1109,2026-04-01,IB,Iberia,BOG,JFK,completado,42,42,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1110,2026-04-01,LA,Latam Airlines,CLO,BOG,demorado,78,55,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1111,2026-04-01,AV,Avianca,BOG,JFK,completado,25,20,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1112,2026-04-01,AC,Air Canada,LIM,BOG,demorado,57,47,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1113,2026-04-01,TK,Turkish Airlines,LIM,BOG,demorado,61,46,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1114,2026-04-01,AV,Avianca,CUN,BOG,completado,40,47,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1115,2026-04-01,AC,Air Canada,MAD,BOG,demorado,60,43,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1116,2026-04-01,TK,Turkish Airlines,BOG,MDE,completado,8,6,False,menor,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1117,2026-04-01,DL,Delta Air Lines,BOG,MIA,cancelado,0,0,False,sin_retraso,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1118,2026-04-01,B6,JetBlue Airways,SCL,BOG,demorado,65,63,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1119,2026-04-01,AA,American Airlines,PTY,BOG,demorado,84,89,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1120,2026-04-01,CM,Copa Airlines,MIA,BOG,demorado,74,46,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1121,2026-04-01,CM,Copa Airlines,BOG,MAD,demorado,67,57,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1122,2026-04-01,IB,Iberia,MDE,MIA,demorado,78,85,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1123,2026-04-01,DL,Delta Air Lines,SCL,BOG,cancelado,0,0,False,sin_retraso,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1124,2026-04-01,AA,American Airlines,GRU,BOG,cancelado,0,0,False,sin_retraso,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1125,2026-04-01,AC,Air Canada,BOG,MIA,demorado,50,41,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1126,2026-04-01,DL,Delta Air Lines,LIM,BOG,completado,41,36,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1127,2026-04-01,UA,United Airlines,PTY,BOG,completado,45,49,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1128,2026-04-01,AC,Air Canada,BOG,MDE,demorado,56,37,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1129,2026-04-01,CM,Copa Airlines,MDE,PTY,demorado,77,81,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1130,2026-04-01,AC,Air Canada,LIM,BOG,completado,43,38,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1131,2026-04-01,AV,Avianca,MAD,BOG,demorado,52,61,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1132,2026-04-01,LA,Latam Airlines,JFK,BOG,demorado,64,49,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1133,2026-04-01,TK,Turkish Airlines,BOG,MAD,cancelado,0,0,False,sin_retraso,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1134,2026-04-01,UA,United Airlines,BOG,GRU,demorado,89,83,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1135,2026-04-01,AA,American Airlines,MDE,BOG,demorado,102,98,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1136,2026-04-01,CM,Copa Airlines,BOG,CLO,demorado,91,62,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1137,2026-04-01,AA,American Airlines,LIM,BOG,demorado,56,35,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1138,2026-04-01,IB,Iberia,BOG,MDE,demorado,65,43,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1139,2026-04-01,B6,JetBlue Airways,BOG,JFK,demorado,60,60,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1140,2026-04-01,AV,Avianca,BOG,JFK,demorado,77,79,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1141,2026-04-01,LA,Latam Airlines,MDE,BOG,completado,44,34,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1142,2026-04-01,UA,United Airlines,MDE,PTY,demorado,51,34,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1143,2026-04-01,IB,Iberia,SCL,BOG,demorado,69,78,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1144,2026-04-01,TK,Turkish Airlines,MDE,PTY,completado,16,13,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1145,2026-04-01,LA,Latam Airlines,BOG,MAD,demorado,59,39,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1146,2026-04-01,CM,Copa Airlines,BAQ,BOG,completado,39,33,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1147,2026-04-01,AC,Air Canada,GRU,BOG,en_vuelo,41,32,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1148,2026-04-01,IB,Iberia,BOG,BAQ,cancelado,0,0,False,sin_retraso,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1149,2026-04-01,DL,Delta Air Lines,LIM,BOG,completado,33,31,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1150,2026-04-01,IB,Iberia,BOG,MIA,demorado,63,48,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1151,2026-04-01,UA,United Airlines,MDE,MIA,demorado,52,49,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1152,2026-04-01,CM,Copa Airlines,SCL,BOG,completado,40,34,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1153,2026-04-01,UA,United Airlines,EZE,BOG,demorado,62,70,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1154,2026-04-01,B6,JetBlue Airways,BOG,JFK,completado,42,36,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1155,2026-04-01,LA,Latam Airlines,MDE,MIA,completado,30,30,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1156,2026-04-01,AV,Avianca,BOG,GRU,demorado,69,50,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1157,2026-04-01,DL,Delta Air Lines,BOG,MEX,completado,31,32,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1158,2026-04-01,AA,American Airlines,CTG,MDE,demorado,54,56,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1159,2026-04-01,TK,Turkish Airlines,BOG,MAD,demorado,81,76,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1160,2026-04-01,AC,Air Canada,BOG,MEX,completado,12,12,False,menor,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1161,2026-04-01,LA,Latam Airlines,CLO,BOG,demorado,79,75,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1162,2026-04-01,AC,Air Canada,GRU,BOG,cancelado,0,0,False,sin_retraso,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1163,2026-04-01,IB,Iberia,BOG,BAQ,demorado,69,72,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1164,2026-04-01,CM,Copa Airlines,BOG,GRU,cancelado,0,0,False,sin_retraso,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1165,2026-04-01,TK,Turkish Airlines,CLO,MIA,demorado,81,70,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1166,2026-04-01,B6,JetBlue Airways,MIA,BOG,cancelado,0,0,False,sin_retraso,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1167,2026-04-01,TK,Turkish Airlines,MIA,BOG,completado,24,15,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1168,2026-04-01,TK,Turkish Airlines,BOG,JFK,demorado,82,91,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1169,2026-04-01,IB,Iberia,MDE,PTY,demorado,70,75,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1170,2026-04-01,TK,Turkish Airlines,CUN,BOG,completado,31,36,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1171,2026-04-01,UA,United Airlines,MAD,BOG,completado,38,24,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1172,2026-04-01,IB,Iberia,CTG,MDE,demorado,66,70,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1173,2026-04-01,AV,Avianca,CUN,BOG,completado,45,36,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1174,2026-04-01,DL,Delta Air Lines,SCL,BOG,demorado,77,50,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1175,2026-04-01,UA,United Airlines,BOG,MEX,demorado,72,60,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1176,2026-04-01,LA,Latam Airlines,BOG,MEX,demorado,59,60,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1177,2026-04-01,IB,Iberia,BOG,MAD,demorado,63,51,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1178,2026-04-01,CM,Copa Airlines,BOG,BAQ,demorado,86,60,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1179,2026-04-01,LA,Latam Airlines,CTG,MDE,cancelado,0,0,False,sin_retraso,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1180,2026-04-01,UA,United Airlines,EZE,BOG,demorado,68,69,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
