incidente_id,fecha,motivo,prioridad,airline_iata,airline_name,agente_id,is_resolved,estado,minutos_retraso_asociado,satisfaccion_cliente,tiempo_resolucion_horas,mes,anio
CAS-100021,2026-04-01,Reembolso,media,AC,Air Canada,USR_010,True,resuelto,0,4.1,1.9,4,2026
CAS-100022,2026-04-01,Retraso de Vuelo,alta,UA,United Airlines,USR_003,True,resuelto,51,4.8,6.3,4,2026
CAS-100023,2026-04-01,Cambio de Itinerario,media,AV,Avianca,USR_002,True,resuelto,0,4.0,4.8,4,2026
CAS-100024,2026-04-01,Cancelación,alta,IB,Iberia,USR_013,True,resuelto,0,4.7,2.3,4,2026
CAS-100025,2026-04-01,Retraso de Vuelo,alta,UA,United Airlines,USR_002,False,pendiente,46,2.0,,4,2026
CAS-100026,2026-04-01,Cancelación,alta,AV,Avianca,USR_013,False,pendiente,0,1.9,,4,2026
CAS-100027,2026-04-01,Check-in,baja,TK,Turkish Airlines,USR_001,True,resuelto,0,4.3,5.6,4,2026
CAS-100028,2026-04-01,Retraso de Vuelo,alta,AC,Air Canada,USR_005,False,pendiente,149,2.1,,4,2026
CAS-100029,2026-04-01,Retraso de Vuelo,alta,CM,Copa Airlines,USR_005,True,resuelto,166,3.7,3.4,4,2026
CAS-100030,2026-04-01,Equipaje,media,CM,Copa Airlines,USR_009,True,resuelto,0,4.4,7.4,4,2026
CAS-100031,2026-04-01,Retraso de Vuelo,alta,CM,Copa Airlines,USR_012,True,resuelto,187,4.6,3.6,4,2026
CAS-100032,2026-04-01,Retraso de Vuelo,alta,UA,United Airlines,USR_005,True,resuelto,156,3.8,3.5,4,2026
CAS-100033,2026-04-01,Reembolso,media,AV,Avianca,USR_002,True,resuelto,0,4.9,6.5,4,2026
CAS-100034,2026-04-01,Cancelación,alta,TK,Turkish Airlines,USR_009,False,pendiente,0,2.2,,4,2026
CAS-100035,2026-04-01,Cancelación,alta,AV,Avianca,USR_013,True,resuelto,0,3.5,4.6,4,2026
CAS-100036,2026-04-01,Check-in,baja,AC,Air Canada,USR_001,True,resuelto,0,4.4,2.9,4,2026
CAS-100037,2026-04-01,Cambio de Itinerario,media,LA,Latam Airlines,USR_001,False,pendiente,0,2.8,,4,2026
CAS-100038,2026-04-01,Retraso de Vuelo,alta,IB,Iberia,USR_001,True,resuelto,80,4.1,2.0,4,2026
CAS-100039,2026-04-01,Retraso de Vuelo,alta,DL,Delta Air Lines,USR_002,True,resuelto,117,3.8,4.4,4,2026
CAS-100040,2026-04-01,Cambio de Itinerario,media,TK,Turkish Airlines,USR_005,False,pendiente,0,3.1,,4,2026
CAS-100041,2026-04-01,Equipaje,media,AC,Air Canada,USR_001,True,resuelto,0,4.5,4.9,4,2026
CAS-100042,2026-04-01,Reembolso,media,IB,Iberia,USR_014,True,resuelto,0,4.7,4.8,4,2026
CAS-100043,2026-04-01,Equipaje,media,TK,Turkish Airlines,USR_011,True,resuelto,0,3.5,2.5,4,2026
CAS-100044,2026-04-01,Retraso de Vuelo,alta,B6,JetBlue Airways,USR_009,True,resuelto,194,4.1,2.7,4,2026
CAS-100045,2026-04-01,Reembolso,media,TK,Turkish Airlines,USR_007,True,resuelto,0,3.0,3.7,4,2026
CAS-100046,2026-04-01,Retraso de Vuelo,alta,DL,Delta Air Lines,USR_012,False,pendiente,206,2.7,,4,2026
CAS-100047,2026-04-01,Cambio de Itinerario,media,TK,Turkish Airlines,USR_012,True,resuelto,0,4.5,6.3,4,2026
CAS-100048,2026-04-01,Retraso de Vuelo,alta,LA,Latam Airlines,USR_002,True,resuelto,93,4.1,6.6,4,2026
CAS-100049,2026-04-01,Cambio de Itinerario,media,B6,JetBlue Airways,USR_008,False,pendiente,0,1.7,,4,2026
CAS-100050,2026-04-01,Reembolso,media,LA,Latam Airlines,USR_012,True,resuelto,0,4.5,6.1,4,2026
CAS-100051,2026-04-01,Retraso de Vuelo,alta,AV,Avianca,USR_013,True,resuelto,224,3.3,1.8,4,2026
CAS-100052,2026-04-01,Cambio de Itinerario,media,TK,Turkish Airlines,USR_001,True,resuelto,0,3.8,2.5,4,2026
CAS-100053,2026-04-01,Cancelación,alta,TK,Turkish Airlines,USR_008,False,pendiente,0,2.1,,4,2026
CAS-100054,2026-04-01,Retraso de Vuelo,alta,AA,American Airlines,USR_014,True,resuelto,135,3.8,6.3,4,2026
CAS-100055,2026-04-01,Cancelación,alta,B6,JetBlue Airways,USR_006,True,resuelto,0,4.5,7.9,4,2026
CAS-100056,2026-04-01,Retraso de Vuelo,alta,B6,JetBlue Airways,USR_011,True,resuelto,34,3.7,6.1,4,2026
CAS-100057,2026-04-01,Cancelación,alta,B6,JetBlue Airways,USR_001,False,pendiente,0,2.1,,4,2026
CAS-100058,2026-04-01,Retraso de Vuelo,alta,AA,American Airlines,USR_005,True,resuelto,234,4.6,5.0,4,2026
CAS-100059,2026-04-01,Cancelación,alta,TK,Turkish Airlines,USR_007,False,pendiente,0,3.4,,4,2026
CAS-100060,2026-04-01,Check-in,baja,AA,American Airlines,USR_007,True,resuelto,0,3.6,2.0,4,2026
CAS-100061,2026-04-01,Equipaje,media,AV,Avianca,USR_002,True,resuelto,0,3.4,0.6,4,2026
CAS-100062,2026-04-01,Equipaje,media,UA,United Airlines,USR_011,False,pendiente,0,1.5,,4,2026
CAS-100063,2026-04-01,Retraso de Vuelo,alta,DL,Delta Air Lines,USR_008,True,resuelto,45,4.4,2.0,4,2026
CAS-100064,2026-04-01,Retraso de Vuelo,alta,AV,Avianca,USR_006,True,resuelto,74,4.6,2.6,4,2026
CAS-100065,2026-04-01,Cancelación,alta,IB,Iberia,USR_004,True,resuelto,0,3.0,5.9,4,2026
CAS-100066,2026-04-01,Retraso de Vuelo,alta,B6,JetBlue Airways,USR_005,True,resuelto,43,3.4,6.6,4,2026
CAS-100067,2026-04-01,Cancelación,alta,CM,Copa Airlines,USR_012,True,resuelto,0,4.2,4.6,4,2026
CAS-100068,2026-04-01,Retraso de Vuelo,alta,AV,Avianca,USR_012,True,resuelto,170,4.4,5.3,4,2026
CAS-100069,2026-04-01,Retraso de Vuelo,alta,DL,Delta Air Lines,USR_011,True,resuelto,227,4.4,2.0,4,2026
CAS-100070,2026-04-01,Retraso de Vuelo,alta,AV,Avianca,USR_010,True,resuelto,13,3.1,4.6,4,2026
CAS-100071,2026-04-01,Retraso de Vuelo,alta,DL,Delta Air Lines,USR_012,True,resuelto,67,4.5,0.9,4,2026
CAS-100072,2026-04-01,Check-in,baja,LA,Latam Airlines,USR_015,True,resuelto,0,3.7,6.4,4,2026
CAS-100073,2026-04-01,Retraso de Vuelo,alta,AC,Air Canada,USR_005,True,resuelto,130,4.7,6.1,4,2026
CAS-100074,2026-04-01,Check-in,baja,LA,Latam Airlines,USR_005,True,resuelto,0,3.9,2.4,4,2026
CAS-100075,2026-04-01,Equipaje,media,CM,Copa Airlines,USR_008,True,resuelto,0,3.2,7.4,4,2026
CAS-100076,2026-04-01,Cancelación,alta,AC,Air Canada,USR_008,True,resuelto,0,3.5,3.6,4,2026
CAS-100077,2026-04-01,Retraso de Vuelo,alta,CM,Copa Airlines,USR_004,True,resuelto,199,4.0,0.5,4,2026
CAS-100078,2026-04-01,Problema de Pago,baja,LA,Latam Airlines,USR_010,False,pendiente,0,2.6,,4,2026
CAS-100079,2026-04-01,Cancelación,alta,DL,Delta Air Lines,USR_003,True,resuelto,0,4.9,7.4,4,2026
CAS-100080,2026-04-01,Equipaje,media,DL,Delta Air Lines,USR_008,True,resuelto,0,4.7,4.2,4,2026
CAS-100081,2026-04-01,Check-in,baja,UA,United Airlines,USR_003,True,resuelto,0,3.4,5.6,4,2026
CAS-100082,2026-04-01,Cambio de Itinerario,media,UA,United Airlines,USR_003,True,resuelto,0,4.9,3.9,4,2026
CAS-100083,2026-04-01,Cambio de Itinerario,media,AA,American Airlines,USR_008,True,resuelto,0,3.6,7.6,4,2026
CAS-100084,2026-04-01,Retraso de Vuelo,alta,LA,Latam Airlines,USR_010,False,pendiente,219,2.9,,4,2026
CAS-100085,2026-04-01,Reembolso,media,IB,Iberia,USR_013,True,resuelto,0,3.9,7.0,4,2026
CAS-100086,2026-04-01,Cancelación,alta,AV,Avianca,USR_014,True,resuelto,0,3.8,7.8,4,2026
CAS-100087,2026-04-01,Retraso de Vuelo,alta,AV,Avianca,USR_004,False,pendiente,233,2.3,,4,2026
CAS-100088,2026-04-01,Cancelación,alta,CM,Copa Airlines,USR_003,True,resuelto,0,3.8,6.6,4,2026
CAS-100089,2026-04-01,Retraso de Vuelo,alta,UA,United Airlines,USR_014,True,resuelto,216,4.2,7.3,4,2026
CAS-100090,2026-04-01,Retraso de Vuelo,alta,AC,Air Canada,USR_011,True,resuelto,144,4.9,5.4,4,2026
CAS-100091,2026-04-01,Problema de Pago,baja,AA,American Airlines,USR_010,False,pendiente,0,1.8,,4,2026
CAS-100092,2026-04-01,Retraso de Vuelo,alta,UA,United Airlines,USR_005,False,pendiente,224,3.3,,4,2026
CAS-100093,2026-04-01,Check-in,baja,AV,Avianca,USR_010,True,resuelto,0,3.2,6.8,4,2026
CAS-100094,2026-04-01,Retraso de Vuelo,alta,CM,Copa Airlines,USR_004,True,resuelto,208,3.7,7.1,4,2026
CAS-100095,2026-04-01,Retraso de Vuelo,alta,AV,Avianca,USR_004,True,resuelto,105,3.7,1.8,4,2026
CAS-100096,2026-04-01,Check-in,baja,AC,Air Canada,USR_014,True,resuelto,0,3.2,4.1,4,2026
CAS-100097,2026-04-01,Reembolso,media,IB,Iberia,USR_006,True,resuelto,0,4.3,7.4,4,2026
CAS-100098,2026-04-01,Cancelación,alta,AV,Avianca,USR_002,False,pendiente,0,2.9,,4,2026
CAS-100099,2026-04-01,Cancelación,alta,AA,American Airlines,USR_013,True,resuelto,0,4.5,6.3,4,2026
CAS-100100,2026-04-01,Cambio de Itinerario,media,B6,JetBlue Airways,USR_012,False,pendiente,0,2.7,,4,2026
CAS-100101,2026-04-01,Cancelación,alta,CM,Copa Airlines,USR_009,True,resuelto,0,3.6,7.9,4,2026
CAS-100102,2026-04-01,Retraso de Vuelo,alta,UA,United Airlines,USR_011,True,resuelto,151,3.6,6.1,4,2026
CAS-100103,2026-04-01,Cancelación,alta,UA,United Airlines,USR_007,True,resuelto,0,3.3,5.0,4,2026
CAS-100104,2026-04-01,Check-in,baja,UA,United Airlines,USR_008,True,resuelto,0,4.7,6.4,4,2026
CAS-100105,2026-04-01,Cancelación,alta,AC,Air Canada,USR_012,True,resuelto,0,3.3,7.4,4,2026
CAS-100106,2026-04-01,Equipaje,media,AA,American Airlines,USR_012,True,resuelto,0,3.4,4.3,4,2026
CAS-100107,2026-04-01,Retraso de Vuelo,alta,TK,Turkish Airlines,USR_014,True,resuelto,144,4.1,7.2,4,2026
CAS-100108,2026-04-01,Reembolso,media,AA,American Airlines,USR_003,False,pendiente,0,3.4,,4,2026
CAS-100109,2026-04-01,Equipaje,media,LA,Latam Airlines,USR_011,True,resuelto,0,4.6,5.3,4,2026
CAS-100110,2026-04-01,Cancelación,alta,LA,Latam Airlines,USR_004,False,pendiente,0,3.1,,4,2026
CAS-100111,2026-04-01,Problema de Pago,baja,UA,United Airlines,USR_011,True,resuelto,0,4.3,7.1,4,2026
CAS-100112,2026-04-01,Reembolso,media,LA,Latam Airlines,USR_008,True,resuelto,0,4.6,6.8,4,2026
CAS-100113,2026-04-01,Cancelación,alta,DL,Delta Air Lines,USR_001,True,resuelto,0,4.6,1.3,4,2026
CAS-100114,2026-04-01,Problema de Pago,baja,UA,United Airlines,USR_007,False,pendiente,0,3.1,,4,2026
CAS-100115,2026-04-01,Cancelación,alta,B6,JetBlue Airways,USR_003,True,resuelto,0,3.7,1.7,4,2026
CAS-100116,2026-04-01,Cambio de Itinerario,media,UA,United Airlines,USR_013,False,pendiente,0,2.7,,4,2026
CAS-100117,2026-04-01,Cancelación,alta,UA,United Airlines,USR_006,True,resuelto,0,4.9,4.5,4,2026
CAS-100118,2026-04-01,Equipaje,media,IB,Iberia,USR_001,True,resuelto,0,4.9,7.4,4,2026
CAS-100119,2026-04-01,Retraso de Vuelo,alta,LA,Latam Airlines,USR_004,True,resuelto,218,3.7,1.2,4,2026
CAS-100120,2026-04-01,Cancelación,alta,IB,Iberia,USR_001,True,resuelto,0,4.9,3.2,4,2026
CAS-100121,2026-04-01,Cancelación,alta,IB,Iberia,USR_013,True,resuelto,0,3.7,1.6,4,2026
CAS-100122,2026-04-01,Retraso de Vuelo,alta,TK,Turkish Airlines,USR_013,True,resuelto,48,4.2,7.7,4,2026
CAS-100123,2026-04-01,Cancelación,alta,CM,Copa Airlines,USR_001,False,pendiente,0,3.3,,4,2026
CAS-100124,2026-04-01,Cancelación,alta,UA,United Airlines,USR_011,True,resuelto,0,4.3,0.5,4,2026
CAS-100125,2026-04-01,Equipaje,media,LA,Latam Airlines,USR_014,True,resuelto,0,3.4,6.3,4,2026
CAS-100126,2026-04-01,Retraso de Vuelo,alta,TK,Turkish Airlines,USR_012,True,resuelto,1,4.5,4.9,4,2026
CAS-100127,2026-04-01,Cancelación,alta,DL,Delta Air Lines,USR_003,False,pendiente,0,3.5,,4,2026
CAS-100128,2026-04-01,Cancelación,alta,B6,JetBlue Airways,USR_004,True,resuelto,0,4.2,0.9,4,2026
CAS-100129,2026-04-01,Retraso de Vuelo,alta,IB,Iberia,USR_004,False,pendiente,77,2.9,,4,2026
CAS-100130,2026-04-01,Cancelación,alta,IB,Iberia,USR_002,True,resuelto,0,4.4,5.2,4,2026
CAS-100131,2026-04-01,Cancelación,alta,IB,Iberia,USR_001,True,resuelto,0,4.9,2.3,4,2026
CAS-100132,2026-04-01,Problema de Pago,baja,DL,Delta Air Lines,USR_009,True,resuelto,0,4.0,3.5,4,2026
CAS-100133,2026-04-01,Retraso de Vuelo,alta,DL,Delta Air Lines,USR_011,True,resuelto,132,3.8,6.4,4,2026
CAS-100134,2026-04-01,Reembolso,media,AV,Avianca,USR_003,True,resuelto,0,3.7,1.9,4,2026
CAS-100135,2026-04-01,Reembolso,media,DL,Delta Air Lines,USR_015,False,pendiente,0,3.2,,4,2026
CAS-100136,2026-04-01,Retraso de Vuelo,alta,TK,Turkish Airlines,USR_002,False,pendiente,29,3.0,,4,2026
CAS-100137,2026-04-01,Reembolso,media,AC,Air Canada,USR_013,True,resuelto,0,3.3,1.9,4,2026
CAS-100138,2026-04-01,Reembolso,media,LA,Latam Airlines,USR_010,True,resuelto,0,3.3,6.5,4,2026
CAS-100139,2026-04-01,Cancelación,alta,AC,Air Canada,USR_008,True,resuelto,0,3.3,3.5,4,2026
CAS-100140,2026-04-01,Equipaje,media,TK,Turkish Airlines,USR_002,True,resuelto,0,4.4,6.2,4,2026
CAS-100141,2026-04-01,Cambio de Itinerario,media,LA,Latam Airlines,USR_011,True,resuelto,0,4.3,7.3,4,2026
CAS-100142,2026-04-01,Retraso de Vuelo,alta,LA,Latam Airlines,USR_006,True,resuelto,24,4.4,7.2,4,2026
CAS-100143,2026-04-01,Check-in,baja,AC,Air Canada,USR_015,True,resuelto,0,4.3,6.6,4,2026
CAS-100144,2026-04-01,Cancelación,alta,AV,Avianca,USR_015,False,pendiente,0,3.0,,4,2026
CAS-100145,2026-04-01,Reembolso,media,AC,Air Canada,USR_005,True,resuelto,0,4.0,5.3,4,2026
CAS-100146,2026-04-01,Equipaje,media,UA,United Airlines,USR_007,True,resuelto,0,3.1,3.1,4,2026
CAS-100147,2026-04-01,Retraso de Vuelo,alta,LA,Latam Airlines,USR_011,True,resuelto,29,3.0,3.7,4,2026
CAS-100148,2026-04-01,Check-in,baja,CM,Copa Airlines,USR_008,True,resuelto,0,4.1,4.5,4,2026
CAS-100149,2026-04-01,Equipaje,media,IB,Iberia,USR_002,True,resuelto,0,4.0,4.0,4,2026
CAS-100150,2026-04-01,Equipaje,media,UA,United Airlines,USR_004,True,resuelto,0,3.3,1.2,4,2026
CAS-100151,2026-04-01,Cancelación,alta,B6,JetBlue Airways,USR_011,True,resuelto,0,4.8,3.5,4,2026
CAS-100152,2026-04-01,Retraso de Vuelo,alta,AV,Avianca,USR_012,True,resuelto,98,3.2,3.9,4,2026
CAS-100153,2026-04-01,Cancelación,alta,AV,Avianca,USR_001,True,resuelto,0,3.7,6.0,4,2026
CAS-100154,2026-04-01,Equipaje,media,B6,JetBlue Airways,USR_003,True,resuelto,0,3.3,2.3,4,2026
CAS-100155,2026-04-01,Reembolso,media,IB,Iberia,USR_002,True,resuelto,0,4.9,7.5,4,2026
CAS-100156,2026-04-01,Retraso de Vuelo,alta,UA,United Airlines,USR_005,True,resuelto,84,3.5,4.4,4,2026
CAS-100157,2026-04-01,Reembolso,media,B6,JetBlue Airways,USR_003,False,pendiente,0,1.8,,4,2026
CAS-100158,2026-04-01,Reembolso,media,IB,Iberia,USR_009,False,pendiente,0,3.3,,4,2026
CAS-100159,2026-04-01,Equipaje,media,AA,American Airlines,USR_008,True,resuelto,0,4.0,1.3,4,2026
CAS-100160,2026-04-01,Equipaje,media,UA,United Airlines,USR_006,True,resuelto,0,3.7,5.2,4,2026
CAS-100161,2026-04-01,Equipaje,media,LA,Latam Airlines,USR_008,True,resuelto,0,3.6,3.3,4,2026
CAS-100162,2026-04-01,Cambio de Itinerario,media,IB,Iberia,USR_011,True,resuelto,0,3.4,8.0,4,2026
CAS-100163,2026-04-01,Cancelación,alta,AC,Air Canada,USR_003,True,resuelto,0,4.5,5.9,4,2026
CAS-100164,2026-04-01,Problema de Pago,baja,AC,Air Canada,USR_008,True,resuelto,0,3.6,5.7,4,2026
CAS-100165,2026-04-01,Equipaje,media,UA,United Airlines,USR_004,True,resuelto,0,3.5,6.6,4,2026
CAS-100166,2026-04-01,Cancelación,alta,AV,Avianca,USR_005,True,resuelto,0,3.8,3.6,4,2026
CAS-100167,2026-04-01,Cambio de Itinerario,media,B6,JetBlue Airways,USR_008,True,resuelto,0,3.7,5.4,4,2026
CAS-100168,2026-04-01,Retraso de Vuelo,alta,B6,JetBlue Airways,USR_001,True,resuelto,161,3.2,7.1,4,2026
CAS-100169,2026-04-01,Cancelación,alta,UA,United Airlines,USR_006,True,resuelto,0,4.4,2.9,4,2026
CAS-100170,2026-04-01,Cancelación,alta,LA,Latam Airlines,USR_004,True,resuelto,0,4.7,6.4,4,2026
CAS-100171,2026-04-01,Equipaje,media,TK,Turkish Airlines,USR_002,True,resuelto,0,3.3,6.9,4,2026
CAS-100172,2026-04-01,Cancelación,alta,AA,American Airlines,USR_005,False,pendiente,0,3.1,,4,2026
CAS-100173,2026-04-01,Retraso de Vuelo,alta,AC,Air Canada,USR_005,True,resuelto,234,3.4,1.5,4,2026
CAS-100174,2026-04-01,Cancelación,alta,AV,Avianca,USR_003,True,resuelto,0,3.3,6.9,4,2026
CAS-100175,2026-04-01,Cancelación,alta,CM,Copa Airlines,USR_005,True,resuelto,0,4.1,4.8,4,2026
CAS-100176,2026-04-01,Retraso de Vuelo,alta,LA,Latam Airlines,USR_003,False,pendiente,155,2.0,,4,2026
CAS-100177,2026-04-01,Cancelación,alta,AA,American Airlines,USR_009,True,resuelto,0,3.0,7.4,4,2026
CAS-100178,2026-04-01,Problema de Pago,baja,UA,United Airlines,USR_011,False,pendiente,0,2.4,,4,2026
CAS-100179,2026-04-01,Retraso de Vuelo,alta,AC,Air Canada,USR_014,True,resuelto,210,4.4,6.0,4,2026
CAS-100180,2026-04-01,Check-in,baja,AC,Air Canada,USR_004,True,resuelto,0,4.3,7.9,4,2026
CAS-100181,2026-04-01,Cancelación,alta,UA,United Airlines,USR_008,True,resuelto,0,4.0,7.3,4,2026
CAS-100182,2026-04-01,Cancelación,alta,B6,JetBlue Airways,USR_006,True,resuelto,0,4.0,1.2,4,2026
CAS-100183,2026-04-01,Equipaje,media,LA,Latam Airlines,USR_010,False,pendiente,0,1.7,,4,2026
CAS-100184,2026-04-01,Cancelación,alta,B6,JetBlue Airways,USR_014,True,resuelto,0,3.1,2.7,4,2026
CAS-100185,2026-04-01,Reembolso,media,AV,Avianca,USR_010,False,pendiente,0,1.6,,4,2026
CAS-100186,2026-04-01,Equipaje,media,AA,American Airlines,USR_003,False,pendiente,0,2.5,,4,2026
CAS-100187,2026-04-01,Cancelación,alta,IB,Iberia,USR_012,True,resuelto,0,4.9,2.2,4,2026
CAS-100188,2026-04-01,Retraso de Vuelo,alta,LA,Latam Airlines,USR_010,True,resuelto,137,3.5,1.4,4,2026
CAS-100189,2026-04-01,Retraso de Vuelo,alta,AA,American Airlines,USR_013,False,pendiente,231,2.4,,4,2026
CAS-100190,2026-04-01,Cancelación,alta,AC,Air Canada,USR_013,True,resuelto,0,4.5,3.6,4,2026
CAS-100191,2026-04-01,Cancelación,alta,CM,Copa Airlines,USR_001,False,pendiente,0,1.9,,4,2026
CAS-100192,2026-04-01,Cancelación,alta,CM,Copa Airlines,USR_008,True,resuelto,0,3.3,7.1,4,2026
CAS-100193,2026-04-01,Cancelación,alta,B6,JetBlue Airways,USR_006,True,resuelto,0,4.9,7.6,4,2026
CAS-100194,2026-04-01,Cancelación,alta,IB,Iberia,USR_011,True,resuelto,0,4.9,1.1,4,2026
CAS-100195,2026-04-01,Reembolso,media,LA,Latam Airlines,USR_008,False,pendiente,0,2.3,,4,2026
CAS-100196,2026-04-01,Cancelación,alta,TK,Turkish Airlines,USR_001,True,resuelto,0,4.7,4.4,4,2026
CAS-100197,2026-04-01,Retraso de Vuelo,alta,TK,Turkish Airlines,USR_007,True,resuelto,44,3.3,7.5,4,2026
CAS-100198,2026-04-01,Cancelación,alta,B6,JetBlue Airways,USR_013,False,pendiente,0,3.4,,4,2026
CAS-100199,2026-04-01,Reembolso,media,UA,United Airlines,USR_012,True,resuelto,0,4.5,5.0,4,2026
CAS-100200,2026-04-01,Retraso de Vuelo,alta,LA,Latam Airlines,USR_005,True,resuelto,30,3.6,3.9,4,2026
CAS-100201,2026-04-01,Retraso de Vuelo,alta,LA,Latam Airlines,USR_013,True,resuelto,148,4.7,1.6,4,2026
CAS-100202,2026-04-01,Cancelación,alta,UA,United Airlines,USR_008,True,resuelto,0,3.4,5.5,4,2026
CAS-100203,2026-04-01,Equipaje,media,AA,American Airlines,USR_005,False,pendiente,0,2.0,,4,2026
CAS-100204,2026-04-01,Reembolso,media,AV,Avianca,USR_008,True,resuelto,0,3.5,0.9,4,2026
CAS-100205,2026-04-01,Reembolso,media,LA,Latam Airlines,USR_005,True,resuelto,0,3.3,4.2,4,2026
CAS-100206,2026-04-01,Check-in,baja,AC,Air Canada,USR_003,True,resuelto,0,4.5,1.2,4,2026
CAS-100207,2026-04-01,Equipaje,media,AA,American Airlines,USR_014,True,resuelto,0,3.8,4.8,4,2026
CAS-100208,2026-04-01,Retraso de Vuelo,alta,AV,Avianca,USR_014,True,resuelto,122,3.1,0.6,4,2026
CAS-100209,2026-04-01,Retraso de Vuelo,alta,LA,Latam Airlines,USR_006,True,resuelto,75,3.2,2.2,4,2026
CAS-100210,2026-04-01,Equipaje,media,AA,American Airlines,USR_001,True,resuelto,0,4.1,5.3,4,2026
CAS-100211,2026-04-01,Retraso de Vuelo,alta,LA,Latam Airlines,USR_004,False,pendiente,167,3.3,,4,2026
CAS-100212,2026-04-01,Check-in,baja,CM,Copa Airlines,USR_007,True,resuelto,0,3.6,6.0,4,2026
CAS-100213,2026-04-01,Equipaje,media,AV,Avianca,USR_013,True,resuelto,0,4.2,5.3,4,2026
CAS-100214,2026-04-01,Retraso de Vuelo,alta,IB,Iberia,USR_008,True,resuelto,40,4.3,5.5,4,2026
CAS-100215,2026-04-01,Cancelación,alta,AC,Air Canada,USR_007,False,pendiente,0,3.4,,4,2026
CAS-100216,2026-04-01,Cancelación,alta,AC,Air Canada,USR_009,True,resuelto,0,3.8,4.3,4,2026
CAS-100217,2026-04-01,Problema de Pago,baja,TK,Turkish Airlines,USR_015,True,resuelto,0,4.0,5.4,4,2026
CAS-100218,2026-04-01,Check-in,baja,LA,Latam Airlines,USR_008,True,resuelto,0,4.9,3.5,4,2026
CAS-100219,2026-04-01,Cancelación,alta,TK,Turkish Airlines,USR_013,False,pendiente,0,2.2,,4,2026
CAS-100220,2026-04-01,Cancelación,alta,CM,Copa Airlines,USR_005,True,resuelto,0,3.9,3.5,4,2026
CAS-100221,2026-04-01,Cambio de Itinerario,media,B6,JetBlue Airways,USR_013,True,resuelto,0,4.8,6.7,4,2026
CAS-100222,2026-04-01,Retraso de Vuelo,alta,B6,JetBlue Airways,USR_012,True,resuelto,223,3.3,2.4,4,2026
CAS-100223,2026-04-01,Cambio de Itinerario,media,AA,American Airlines,USR_006,True,resuelto,0,3.8,2.9,4,2026
CAS-100224,2026-04-01,Cancelación,alta,DL,Delta Air Lines,USR_009,True,resuelto,0,3.3,4.0,4,2026
CAS-100225,2026-04-01,Equipaje,media,DL,Delta Air Lines,USR_002,True,resuelto,0,4.4,7.8,4,2026
CAS-100226,2026-04-01,Retraso de Vuelo,alta,LA,Latam Airlines,USR_007,True,resuelto,30,3.5,2.3,4,2026
